Project Key,Issue Type,Summary,Epic Link,Epic Name,Priority,Story Points,Sprint,Labels,Fix Version/s,Description,Reporter,Assignee
CLMS,Epic,FTP File Ingestion,,FTP File Ingestion,High,,,,v1.0 - Go-Live Jul 30 2026,,,
CLMS,Epic,File Validation & QA,,File Validation & QA,High,,,,v1.0 - Go-Live Jul 30 2026,,,
CLMS,Epic,Excel Formatting,,Excel Formatting,High,,,,v1.0 - Go-Live Jul 30 2026,,,
CLMS,Epic,Pivot Tables & Charts,,Pivot Tables & Charts,High,,,,v1.0 - Go-Live Jul 30 2026,,,
CLMS,Epic,KPI Dashboard,,KPI Dashboard,High,,,,v1.0 - Go-Live Jul 30 2026,,,
CLMS,Story,Daily FTP Connection & Download,CLMS-E1,FTP File Ingestion,High,5,CLMS Sprint 1,"ftp,ingestion,automation",v1.0 - Go-Live Jul 30 2026,"*As a* Data Operations Analyst, *I want to* automatically connect to the FTP server and download the daily claims CSV file, *so that* I don't have to manually retrieve files and can ensure timely data processing.

*Acceptance Criteria:*
1. System connects to FTP server daily at a scheduled time (e.g., 6:00 AM)
2. System downloads the latest claims CSV matching the expected filename pattern
3. Download is logged with timestamp, file size, and status (success/failure)
4. Alert is sent to team if download fails or file is not available by deadline
5. Downloaded file is stored in a designated staging folder with date-stamped naming

*Definition of Done:*
1. All acceptance criteria verified by PO
2. Code reviewed and merged to main branch
3. Unit tests written and passing
4. Tested with real or representative sample claims file
5. Edge cases handled (empty file, missing tab, FTP timeout, null values)
6. Configuration steps documented (FTP creds, schema config, distribution list)
7. No critical bugs open against the story
8. PO demo/review completed and story accepted in Jira",,
CLMS,Story,FTP Connection Error Handling & Retry,CLMS-E1,FTP File Ingestion,High,3,CLMS Sprint 1,"ftp,error-handling,alerts",v1.0 - Go-Live Jul 30 2026,"*As a* Data Operations Analyst, *I want to* receive immediate notification if the FTP download fails, *so that* I can take manual corrective action before downstream processes are impacted.

*Acceptance Criteria:*
1. System retries connection up to 3 times before marking as failed
2. Email/Slack alert is sent on failure with error details
3. Failure is logged in audit trail
4. System supports manual trigger for re-download

*Definition of Done:*
1. All acceptance criteria verified by PO
2. Code reviewed and merged to main branch
3. Unit tests written and passing
4. Tested with real or representative sample claims file
5. Edge cases handled (empty file, missing tab, FTP timeout, null values)
6. Configuration steps documented (FTP creds, schema config, distribution list)
7. No critical bugs open against the story
8. PO demo/review completed and story accepted in Jira",,
CLMS,Story,Tab/Sheet Completeness Validation,CLMS-E2,File Validation & QA,High,5,CLMS Sprint 1,"validation,qa,completeness",v1.0 - Go-Live Jul 30 2026,"*As a* Data Quality Analyst, *I want to* automatically verify all required tabs are present in the daily file, *so that* I can catch incomplete files before they corrupt downstream reports.

*Acceptance Criteria:*
1. System checks for all expected tabs defined in a configuration list
2. Missing tabs trigger a validation failure with specific tab names listed
3. Validation report is generated with pass/fail status per tab
4. File is quarantined (not processed further) if critical tabs are absent
5. Stakeholder alert sent with validation summary

*Definition of Done:*
1. All acceptance criteria verified by PO
2. Code reviewed and merged to main branch
3. Unit tests written and passing
4. Tested with real or representative sample claims file
5. Edge cases handled (empty file, missing tab, FTP timeout, null values)
6. Configuration steps documented (FTP creds, schema config, distribution list)
7. No critical bugs open against the story
8. PO demo/review completed and story accepted in Jira",,
CLMS,Story,Data Format & Schema Validation,CLMS-E2,File Validation & QA,High,8,CLMS Sprint 2,"validation,schema,data-quality",v1.0 - Go-Live Jul 30 2026,"*As a* Data Quality Analyst, *I want to* verify column headers, data types, and field formats match the expected schema, *so that* I can detect vendor-side changes or errors before they propagate into reports.

*Acceptance Criteria:*
1. System validates column names match expected schema per tab
2. Date fields are checked for correct format (e.g., MM/DD/YYYY)
3. Numeric fields are validated as non-negative and within expected range
4. Row count is compared against prior day — flag if >20% variance
5. Validation results logged with row-level error details where applicable

*Definition of Done:*
1. All acceptance criteria verified by PO
2. Code reviewed and merged to main branch
3. Unit tests written and passing
4. Tested with real or representative sample claims file
5. Edge cases handled (empty file, missing tab, FTP timeout, null values)
6. Configuration steps documented (FTP creds, schema config, distribution list)
7. No critical bugs open against the story
8. PO demo/review completed and story accepted in Jira",,
CLMS,Story,Null & Completeness Field Checks,CLMS-E2,File Validation & QA,Medium,3,CLMS Sprint 2,"validation,null-check,data-quality",v1.0 - Go-Live Jul 30 2026,"*As a* Data Quality Analyst, *I want to* identify null or blank values in required fields, *so that* I can ensure data integrity before analysis begins.

*Acceptance Criteria:*
1. Required fields are defined in configuration
2. System flags rows where required fields are null or blank
3. Summary count of null violations is included in validation report
4. Threshold-based rule: file fails if >5% of rows have critical null values

*Definition of Done:*
1. All acceptance criteria verified by PO
2. Code reviewed and merged to main branch
3. Unit tests written and passing
4. Tested with real or representative sample claims file
5. Edge cases handled (empty file, missing tab, FTP timeout, null values)
6. Configuration steps documented (FTP creds, schema config, distribution list)
7. No critical bugs open against the story
8. PO demo/review completed and story accepted in Jira",,
